user_id,username,full_name,email,role,department,job_title,phone,location,join_date
1,danielle.johnson,Danielle Johnson,danielle.johnson@techcorpsolutions.com,requester,Network Operations,Network Engineer,321.581.9600,New Carolyn,2022-03-24
2,anna.baldwin,Anna Baldwin,anna.baldwin@techcorpsolutions.com,agent,Finance,Accounts Executive,(337)894-0265x42351,West Melanieview,2024-09-30
3,lindsay.blair,Lindsay Blair,lindsay.blair@techcorpsolutions.com,requester,Network Operations,Network Administrator,(518)349-5931x0341,Ramirezstad,2023-10-09
4,francisco.kelly,Francisco Kelly,francisco.kelly@techcorpsolutions.com,requester,Procurement,Procurement Executive,001-719-228-3276x483,Port Antonio,2024-07-25
5,leslie.adams,Leslie Adams,leslie.adams@techcorpsolutions.com,agent,IT Support,IT Support Associate,001-553-676-7242,Hurstfurt,2021-11-05
6,michael.osborn,Michael Osborn,michael.osborn@techcorpsolutions.com,requester,Finance,Finance Manager,610.212.2691x6697,Lake Nicoleview,2021-06-01
7,kayla.peterson,Kayla Peterson,kayla.peterson@techcorpsolutions.com,requester,Procurement,Procurement Executive,(570)448-2814,Kathrynside,2022-05-03
8,stephanie.nielsen,Stephanie Nielsen,stephanie.nielsen@techcorpsolutions.com,requester,Procurement,Vendor Manager,+1-357-901-5430x391,Port Amandaberg,2026-01-12
9,david.alvarez,David Alvarez,david.alvarez@techcorpsolutions.com,requester,Admin,Facilities Coordinator,989-363-8346x578,East Caleb,2023-11-08
10,andrew.spencer,Andrew Spencer,andrew.spencer@techcorpsolutions.com,requester,IT Support,Senior Associate - IT Support,5106310518,Lewisberg,2024-01-30
11,jennifer.khan,Jennifer Khan,jennifer.khan@techcorpsolutions.com,agent,Marketing,Digital Marketing Specialist,876.931.1656,Lake Deniseville,2024-01-04
12,bruce.chandler,Bruce Chandler,bruce.chandler@techcorpsolutions.com,agent,Marketing,Marketing Executive,633-938-7262,Port Sandra,2025-05-03
13,scott.callahan,Scott Callahan,scott.callahan@techcorpsolutions.com,requester,Network Operations,NOC Analyst,5808132677,East Nicholasfurt,2023-11-09
14,joseph.bowers,Joseph Bowers,joseph.bowers@techcorpsolutions.com,requester,Admin,Facilities Coordinator,(987)423-4309x80500,New Christopherburgh,2023-04-17
15,casey.jones,Casey Jones,casey.jones@techcorpsolutions.com,requester,Legal,Legal Associate,(719)639-9091x6998,Lake Jennifer,2025-09-12
16,john.foster,John Foster,john.foster@techcorpsolutions.com,requester,Customer Success,Customer Success Associate,675-410-7991x1838,Nicolebury,2024-07-28
17,mike.moore,Mike Moore,mike.moore@techcorpsolutions.com,requester,Admin,Facilities Coordinator,001-449-680-8412x411,Cassandramouth,2025-07-13
18,james.walters,James Walters,james.walters@techcorpsolutions.com,requester,Network Operations,Network Engineer,840.216.4005x2427,North Sierraberg,2022-02-28
19,amy.davenport,Amy Davenport,amy.davenport@techcorpsolutions.com,requester,Sales,Sales Executive,(562)304-5053,Kimberlychester,2024-01-17
20,terri.brady,Terri Brady,terri.brady@techcorpsolutions.com,requester,Network Operations,NOC Analyst,622.460.2563,South Monicafort,2026-01-28
21,jeffrey.velasquez,Jeffrey Velasquez,jeffrey.velasquez@techcorpsolutions.com,requester,Marketing,Marketing Executive,733-203-6541x4586,West Gregoryview,2023-04-28
22,benjamin.carlson,Benjamin Carlson,benjamin.carlson@techcorpsolutions.com,requester,Finance,Finance Manager,569-781-6934x06088,Jonesmouth,2022-08-24
23,cindy.alvarado,Cindy Alvarado,cindy.alvarado@techcorpsolutions.com,requester,Network Operations,Network Administrator,684-865-6482x3662,West Justinchester,2021-05-03
24,kristi.lawson,Kristi Lawson,kristi.lawson@techcorpsolutions.com,agent,Procurement,Procurement Executive,573.687.2148x951,Port James,2022-07-04
25,andrew.sanchez,Andrew Sanchez,andrew.sanchez@techcorpsolutions.com,requester,Customer Success,Client Relationship Manager,001-517-469-3676x32016,Williamsbury,2023-05-30
26,samantha.martinez,Samantha Martinez,samantha.martinez@techcorpsolutions.com,requester,Procurement,Procurement Executive,988.995.7986x872,Karenview,2021-05-22
27,katie.boyd,Katie Boyd,katie.boyd@techcorpsolutions.com,requester,IT Support,Senior Associate - IT Support,571-843-4558x122,Lake Jason,2024-04-22
28,robert.rivera,Robert Rivera,robert.rivera@techcorpsolutions.com,requester,Marketing,Digital Marketing Specialist,2367690967,Karenchester,2023-05-10
29,amanda.navarro,Amanda Navarro,amanda.navarro@techcorpsolutions.com,requester,Finance,Finance Manager,873.446.7065,Calhounside,2025-05-01
30,anthony.long,Anthony Long,anthony.long@techcorpsolutions.com,requester,Marketing,Marketing Executive,7165272046,Murphyfurt,2023-12-09
31,joshua.bean,Joshua Bean,joshua.bean@techcorpsolutions.com,agent,Customer Success,Client Relationship Manager,270-580-5310,Port Andrew,2023-02-04
